user_id,solution_id,response,question_id
850943465,1,positive,1
850943465,2,positive,1
850943465,3,positive,1
850943465,4,positive,1
850943465,5,positive,1
850943465,6,neutral,2
850943465,7,neutral,2
850943465,8,neutral,2
850943465,9,neutral,2
850943465,10,neutral,2
850943465,1,neutral,1
850943465,2,neutral,1
850943465,3,neutral,1
850943465,4,neutral,1
850943465,5,neutral,1
850943465,6,neutral,2
850943465,7,neutral,2
850943465,8,neutral,2
850943465,9,neutral,2
850943465,10,neutral,2
850943465,11,neutral,3
850943465,12,neutral,3
850943465,13,neutral,3
850943465,14,neutral,3
850943465,15,neutral,3
850943465,16,neutral,4
850943465,17,neutral,4
850943465,18,neutral,4
850943465,19,positive,4
850943465,20,positive,4
850943465,1,positive,1
850943465,2,positive,1
850943465,3,positive,1
850943465,4,positive,1
850943465,5,positive,1
850943465,6,positive,2
850943465,1,neutral,1
850943465,2,neutral,1
850943465,3,neutral,1
850943465,4,neutral,1
850943465,5,neutral,1
850943465,6,neutral,2
850943465,7,neutral,2
850943465,8,neutral,2
850943465,9,neutral,2
850943465,10,neutral,2
850943465,11,neutral,3
850943465,12,neutral,3
850943465,13,neutral,3
850943465,1,positive,1
850943465,2,positive,1
850943465,3,positive,1
850943465,4,positive,1
850943465,5,positive,1
850943465,6,positive,2
850943465,7,positive,2
850943465,8,positive,2
850943465,9,positive,2
850943465,10,positive,2
850943465,11,positive,3
850943465,12,positive,3
850943465,1,positive,1
850943465,2,positive,1
850943465,3,positive,1
850943465,4,positive,1
850943465,5,positive,1
850943465,6,positive,2
850943465,7,positive,2
850943465,8,positive,2
850943465,9,positive,2
850943465,10,positive,2
850943465,11,positive,3
850943465,12,positive,3
850943465,13,positive,3
850943465,1,neutral,1
850943465,2,neutral,1
850943465,3,neutral,1
850943465,4,neutral,1
850943465,5,neutral,1
850943465,6,neutral,2
850943465,7,neutral,2
850943465,8,neutral,2
850943465,9,neutral,2
850943465,10,neutral,2
850943465,11,neutral,3
850943465,12,neutral,3
850943465,13,neutral,3
850943465,14,neutral,3
850943465,1,neutral,1
850943465,2,neutral,1
850943465,3,neutral,1
850943465,4,neutral,1
850943465,5,neutral,1
850943465,6,neutral,2
850943465,7,neutral,2
850943465,8,neutral,2
850943465,9,neutral,2
850943465,10,neutral,2
850943465,11,neutral,3
850943465,12,neutral,3
850943465,13,neutral,3
850943465,14,neutral,3
850943465,15,neutral,3
850943465,16,neutral,4
850943465,17,neutral,4
850943465,18,neutral,4
850943465,19,neutral,4
850943465,20,neutral,4
850943465,1,neutral,1
850943465,2,neutral,1
850943465,3,neutral,1
850943465,4,neutral,1
850943465,5,neutral,1
850943465,6,neutral,2
850943465,7,neutral,2
850943465,8,neutral,2
850943465,9,neutral,2
850943465,10,neutral,2
850943465,11,neutral,3
850943465,12,neutral,3
850943465,13,neutral,3
850943465,14,neutral,3
850943465,15,neutral,3
850943465,16,neutral,4
850943465,17,neutral,4
850943465,1,positive,1
850943465,2,positive,1
850943465,3,positive,1
850943465,4,positive,1
850943465,5,positive,1
850943465,6,positive,2
850943465,7,positive,2
850943465,8,positive,2
850943465,9,positive,2
850943465,10,positive,2
850943465,11,positive,3
850943465,12,positive,3
850943465,13,positive,3
850943465,14,positive,3
850943465,15,positive,3
850943465,16,positive,4
850943465,17,positive,4
850943465,18,positive,4
850943465,19,positive,4
850943465,20,positive,4
