user_id,solution_id,response,question_id
850943465,1,neutral,1
850943465,2,positive,1
850943465,3,positive,1
850943465,4,positive,1
850943465,5,positive,1
850943465,1,positive,1
850943465,2,positive,1
850943465,3,positive,1
850943465,4,positive,1
850943465,5,positive,1
850943465,1,neutral,1
850943465,2,neutral,1
850943465,3,neutral,1
850943465,4,neutral,1
850943465,5,neutral,1
850943465,6,neutral,2
850943465,7,neutral,2
850943465,8,neutral,2
850943465,9,neutral,2
850943465,1,neutral,1
850943465,2,neutral,1
850943465,3,neutral,1
850943465,4,neutral,1
850943465,5,neutral,1
850943465,6,neutral,2
850943465,7,neutral,2
850943465,8,neutral,2
850943465,1,neutral,1
850943465,2,neutral,1
850943465,3,neutral,1
850943465,4,neutral,1
850943465,5,neutral,1
850943465,6,neutral,2
850943465,7,neutral,2
850943465,8,neutral,2
850943465,1,neutral,1
850943465,2,neutral,1
850943465,3,neutral,1
850943465,4,neutral,1
850943465,5,neutral,1
850943465,6,neutral,2
850943465,7,neutral,2
850943465,8,neutral,2
850943465,1,neutral,1
850943465,2,neutral,1
850943465,3,neutral,1
850943465,4,neutral,1
850943465,5,neutral,1
850943465,6,neutral,2
850943465,7,neutral,2
850943465,8,neutral,2
850943465,9,neutral,2
850943465,1,neutral,1
850943465,2,neutral,1
850943465,3,neutral,1
850943465,4,neutral,1
850943465,5,neutral,1
850943465,6,neutral,2
850943465,7,neutral,2
850943465,8,neutral,2
850943465,1,neutral,1
850943465,2,neutral,1
850943465,3,neutral,1
850943465,4,neutral,1
850943465,5,neutral,1
850943465,6,neutral,2
850943465,7,neutral,2
850943465,8,neutral,2
850943465,9,neutral,2
850943465,10,neutral,2
850943465,11,neutral,3
850943465,12,neutral,3
850943465,13,neutral,3
850943465,14,neutral,3
850943465,15,neutral,3
850943465,1,neutral,1
850943465,2,neutral,1
850943465,3,neutral,1
850943465,4,neutral,1
850943465,5,neutral,1
850943465,6,neutral,2
850943465,7,neutral,2
850943465,8,neutral,2
850943465,9,neutral,2
850943465,10,neutral,2
850943465,1,neutral,1
850943465,2,neutral,1
850943465,3,neutral,1
850943465,4,neutral,1
850943465,5,neutral,1
850943465,6,neutral,2
850943465,7,neutral,2
850943465,8,neutral,2
850943465,9,neutral,2
850943465,10,neutral,2
